question_id,doc_id,conflict_type,question,correct_answer,date,a3,label_llm,supported_answer_llm,label_reviewed,note,text
dragged-0007,0,misinformation,Where did the expression a bridge too far come from?,Operation Market Garden during World War II.,2019-04-13,0,correct,,correct,,"""A bridge too far"", an idiom inspired by Operation Market Garden, meaning an act of overreaching; A Bridge Too Far (book), a non-fiction book by Cornelius Ryan ..."
dragged-0007,1,misinformation,Where did the expression a bridge too far come from?,Operation Market Garden during World War II.,2024-09-27,0,noise,,noise,,"Noun Cloning was an interesting concept. Cloning body parts was again just man's search for immortality riding on the back of naive altruistic medicinal benevolence. But cloning a person was a bridge too far. 2021 April 28, Zachary Small, quoting William Goetzmann, “As Auctioneers and Artists Rush Into NFTs, Many Collectors Stay Away”, in New York Times‎[1]: “Maybe we are seeing a similar phenomenon with NFTs — but it could be a bridge too far for people with collections in other media.”"
dragged-0007,4,misinformation,Where did the expression a bridge too far come from?,Operation Market Garden during World War II.,2019-01-13,0,correct,,correct,,The phrase itself was attributed to Field Marshal Montgomery as a retrospective comment on the plan: they had planned to go one bridge farther ( ...
dragged-0007,5,misinformation,Where did the expression a bridge too far come from?,Operation Market Garden during World War II.,2024-08-14,0,noise,,correct,Arnhem/Market Garden 문맥에서 관용구 유래를 다룸 → 지지,"In a more positive review, The Washington Post’s Gary Arnold said: “In terms of careful period recreation, visual spectacle (the sequences depicting paratroop landings are particularly awesome), the mixture of exciting combat episodes with vivid human-interest vignettes, an effort to establish a coherent, many-faceted view of a complicated and ill-fated military adventure, and a generally superior level of filmmaking intelligence and craftsmanship.” How did the Arnhem Bridge film influence public perception of the Battle? To this day, the phrase “a bridge too far” has become a synonym for glorious failure; for getting far but falling at the final hurdle. The battle was one of the most audacious planned by the Allies, but it has come under scrutiny by post-war historians. Anthony Beevor, author of Arnhem: The Battle for the Bridges, 1944, said in 2021 that “Market Garden was a very bad plan, right from the start.” Elsewhere, historians like James Holland and Al Murray on their podcast We Have Ways of Making You Talk, posit that General Gavin’s decision to hold his American soldiers on the southside of Nijmegen bridge as having significant negative effects on XXX Corp’s advance. Others take a different approach. Lloyd Cole writing for World War II Magazine described the operation as “a sensibly conceived scheme” within the context of Allied high command and the situation in Europe in 1944."
dragged-0007,7,misinformation,Where did the expression a bridge too far come from?,Operation Market Garden during World War II.,2020-05-23,0,correct,,correct,,"The statement “a bridge too far” was made before the Battle of Arnhem Whoever says “Battle of Arnhem” says “a bridge too far”. The phrase is the title of the book that Cornelis Ryan wrote in 1974 about Operation Market Garden, and it is also the title of the film made by Richard Attenborough in 1977 in response to the book. Browning Many people think that the expression that Arnhem was “a bridge too far” is the conclusion that was drawn after the Battle of Arnhem. However, that is not true. The statement was made a few days before the start of Operation Market Garden by British General Frederick “Boy” Browning. Browning was the commander of the British 1st Airborne Corps. The 1st Airborne Division led by General Urquhart and the Polish Parachute Brigade led by General Sosabowski were part of it. The 1st Airborne Division was established by Browning in 1942. It was Browning who invented the maroon-colored berets for the paratroopers. He also had the famous Pegasus logo designed. When Browning was informed by the planners of Montgomery about the plans for “his” paratroopers near Arnhem, he was told that the British had to occupy the bridges at Arnhem for two days before they were relieved by the ground troops. Browning replied that the paratroopers could last four days. He later admitted to commander Roy Urquhart of the 1st Airborne Division that he had added, “But I think we might be going a bridge too far.” The statement was recorded in 1973 by Cornelis Ryan when writing his book about Market Garden, after which the statement took on a life of its own. So General Browning was skeptical about the plans with his airborne division. At the same time, he dismissed the (retrospective) criticism that was made of the plans. He waved away warnings that German armored units had been seen near Arnhem. He denied that the distance between the landing areas and the bridges over the Rhine would be too far."
dragged-0155,0,misinformation,How many FIFA World Cups has Argentina won?,3,2024-12-18,missing,correct,,correct,,"This is a record of Argentina's results at the FIFA World Cup. Argentina is one of the most successful teams in the tournament's history, having won three World Cups: in 1978, 1986, and 2022. Argentina has also been runner-up three times: in 1930, 1990 and 2014. In 18 World Cup tournaments, Argentina has 47 victories in 88 matches. The team was present in all but four of the World Cups, being behind only Brazil and Germany in number of appearances. World Cup Finals The inaugural FIFA World Cup tournament culminated with Argentina facing hosts and current Olympic champions Uruguay. The match was turned twice: Argentina went into half-time with a 2–1 lead in spite of an early goal for Uruguay, but the hosts ultimately won 4–2. Guillermo Stábile, one of Argentina's scorers, became the tournament's top striker with 8 goals total. Argentina hosted the 1978 edition of the World Cup and reached the final. The Netherlands had already played the previous final in West Germany 1974 - and also lost to the hosts. Diego Maradona was 17 years old at this point and already a star in his home country, but did not make the squad as coach César Luis Menotti felt he was too inexperienced to handle the pressure of this major tournament. The playmaker position was instead filled by Mario Kempes, who ended up becoming the first Argentinian to win the Golden Ball in addition to being the tournament's top scorer with 6 goals. The Dutch side was missing a superstar of their own: Johan Cruyff did not join the 1978 World Cup squads due to the aftermath of a kidnapping attempt which occurred in 1977. He only disclosed this information 30 years later. The closely contested match was influenced by a hostile atmosphere and ended with the Dutch players refusing to attend the award ceremony after Argentina grabbed the title in extra time. Eight years after the victory on home soil, Argentina won the World Cup title for the second time."
dragged-0155,2,misinformation,How many FIFA World Cups has Argentina won?,3,2024-09-19,missing,correct,,correct,,"Statista R identifies and awards industry leaders, top providers, and exceptional brands through exclusive rankings and top lists in collaboration with renowned media brands worldwide. For more details, visit our website. Countries with the most men's World Cup titles 1930-2022 Brazil have won more FIFA World Cup titles than any other country, with a total of five. Meanwhile, Germany and Italy rank joint-second, with four titles each. Argentina, winners of the 2022 tournament, have won three World Cups. Currently, you are using a shared account. To use individual functions (e.g., mark statistics as favourites, set statistic alerts) please log in with your personal account. If you are an admin, please authenticate by logging in again. Transfermarkt. (December 18, 2022). Countries with the most FIFA World Cup titles from 1930 to 2022 [Graph]. In Statista. Retrieved January 08, 2025, from https://www.statista.com/statistics/266464/number-of-world-cup-titles-won-by-country-since-1930/ Transfermarkt. ""Countries with the most FIFA World Cup titles from 1930 to 2022."" Chart. December 18, 2022. Statista. Accessed January 08, 2025. https://www.statista.com/statistics/266464/number-of-world-cup-titles-won-by-country-since-1930/ Transfermarkt. (2022). Countries with the most FIFA World Cup titles from 1930 to 2022. Statista. Statista Inc.. Accessed: January 08, 2025. https://www.statista.com/statistics/266464/number-of-world-cup-titles-won-by-country-since-1930/ Transfermarkt."
dragged-0155,3,misinformation,How many FIFA World Cups has Argentina won?,3,2025-01-04,missing,conflict,Argentina won a World Cup in North America in 1986 and in Asia in 2022.,noise,대륙 밖 우승 나열일 뿐 총 횟수 주장 없음 → 무관,"North, Central America and Caribbean) in 1930; South Korea (Asia) in 2002; and Morocco (Africa) in 2022. Only one Oceanian qualifier, Australia in 2006, has advanced to the second round, a feat they later reaccomplished in 2022.[b] Brazil, Argentina, Spain and Germany are the only teams to win a World Cup hosted outside their continental confederation; Brazil came out victorious in Europe (1958), North America (1970 and 1994) and Asia (2002). Argentina won a World Cup in North America in 1986 and in Asia in 2022. Spain won in Africa in 2010. In 2014, Germany became the first European team to win in the Americas. Only on five occasions have consecutive World Cups been won by teams from the same continent; the longest streak of tournaments won by a single confederation is four, with the 2006, 2010, 2014, and 2018 tournaments all won by UEFA teams (Italy, Spain, Germany, and France, respectively). Brazil's Mário Zagallo, West Germany's Franz Beckenbauer and France's Didier Deschamps are the only people to date to win the World Cup as both player and head coach. Zagallo won in 1958 and 1962 as a player and in 1970 as head coach.[123] Beckenbauer won in 1974 as captain and in 1990 as head coach,[124] and Deschamps repeated the feat in 2018, after having won in 1998 as captain.[125]Italy's Vittorio Pozzo is the only head coach to ever win two World Cups (1934 and 1938).[126] All World Cup-winning head coaches were natives of the country they coached to victory.[127]"
dragged-0155,4,misinformation,How many FIFA World Cups has Argentina won?,3,2022-12-18,missing,correct,three FIFA World Cup titles,correct,,"Editions How many World Cups have Argentina won? History, wins, and times Albiceleste were FIFA men's champions Kyle Bonn • • Argentina have not always been the giants of the game that nearby Brazil were in the early days of the FIFA World Cup, but thanks to a rise to power in the 1970s and 1980s, the Albiceleste are known today as one of the most accomplished nations in world football. With superstars like Diego Maradona and Lionel Messi, Argentina have graced the globe with some of football's greatest players. Today, Argentina is considered one of the most dominant and fearsome countries in international football, with many players at top clubs across the world, and a rabid and passionate fanbase that follows the team all over the world. The Sporting News brings you a complete summary of Argentina's history at the FIFA World Cup, with their triumphs and failures on the game's biggest stage. How many World Cups have Argentina won? Argentina has won three FIFA World Cup titles in the country's illustrious footballing history, behind only Brazil's world-best five, and four each for Germany and Italy. La Albiceleste won their first World Cup title in 1978 as hosts. They won a second title two World Cups later as Diego Maradona led Argentina to glory in the 1986 edition hosted by Mexico. This tournament featured the famous 'Hand of God' goal that saw Argentina get past England in the quarterfinals. 1978 FIFA World Cup As hosts, Argentina hoisted the nation's first FIFA World Cup title, led by the tournament's top goalscorer Mario Kempes, at the time playing for Valencia in Spain. As second-place finishers in the first group stage behind Italy, they topped Brazil on goal differential in the second group stage, largely thanks to a 6-0 demolition of Peru in the final match. Kempes scored two of his six World Cup goals in that pivotal game, but wasn't quite done yet."
dragged-0155,6,misinformation,How many FIFA World Cups has Argentina won?,3,2023-12-21,missing,noise,,noise,,"Played in 1v1 format, each player races to mark off numbers on their digital card, aiming to complete winning patterns before their opponents. Players must skillfully choose which numbers to daub and aim for a higher score. Make the most of the special powers, and don’t forget to hit Bingo to increase your score and win real money. Football 100x Football 100x takes you to the field, where your knowledge of the football game can lead to big wins. This strategic football game features a board of 5x5, 3X3, or 4X4 grids, with each cell representing an interaction between an offensive and a defensive player. Tap on cells strategically to reveal touchdowns or tackles based on your football knowledge and historical match data and increase your payout multiplier. Why Play Online Money Games on MPL? Win Real Money MPL offers a trusted platform where you can enjoy your favorite real cash games and win real money rewards. Each win lets you turn your gaming skills into real money. Whether playing a quick match or competing in a major tournament, MPL ensures that every game is fun and rewarding. Multiple Games MPL has something for everyone. With an array of real money games available, there’s endless excitement waiting for you. From Bingo Skill to Gin Rummy and 3 Card Flush, there’s always a new game to try. Once you dive in, you will never run out of fun. 100% Safe and Secure MPL ensures a safe and secure experience. The platform is SSL-secured, which means your personal information and financial details are always protected with the highest level of encryption. With an anti-cheat AI, strict Fair Play Policy, and no bots involved, MPL offers a reliable and transparent gaming environment. Easy Withdrawals When you win on MPL, you can withdraw your winnings instantly. The platform makes it easy to transfer your winnings directly to your bank account or wallet without delay through various payment methods such as bank transfers, PayPal, or Skrill. Free Games MPL offers free games for everyone."
