question_id,doc_id,conflict_type,question,supports_gold_a3,source_a3,label_current
dragged-0000,0,complementary,who is commander chief of the military,,undetermined,
dragged-0000,1,complementary,who is commander chief of the military,,undetermined,
dragged-0000,2,complementary,who is commander chief of the military,,undetermined,
dragged-0000,3,complementary,who is commander chief of the military,,undetermined,
dragged-0000,4,complementary,who is commander chief of the military,,undetermined,
dragged-0000,5,complementary,who is commander chief of the military,,undetermined,
dragged-0000,6,complementary,who is commander chief of the military,,undetermined,
dragged-0000,7,complementary,who is commander chief of the military,,undetermined,
dragged-0000,8,complementary,who is commander chief of the military,,undetermined,
dragged-0000,9,complementary,who is commander chief of the military,,undetermined,
dragged-0002,0,complementary,what's the highest point in the us?,0,derived_stringmatch,
dragged-0002,1,complementary,what's the highest point in the us?,0,derived_stringmatch,
dragged-0002,2,complementary,what's the highest point in the us?,0,derived_stringmatch,
dragged-0002,3,complementary,what's the highest point in the us?,0,derived_stringmatch,
dragged-0002,4,complementary,what's the highest point in the us?,1,derived_stringmatch,
dragged-0002,5,complementary,what's the highest point in the us?,0,derived_stringmatch,
dragged-0002,6,complementary,what's the highest point in the us?,0,derived_stringmatch,
dragged-0002,7,complementary,what's the highest point in the us?,0,derived_stringmatch,
dragged-0002,8,complementary,what's the highest point in the us?,0,derived_stringmatch,
dragged-0002,9,complementary,what's the highest point in the us?,0,derived_stringmatch,
dragged-0004,0,complementary,when was coffee first made into a drink?,,undetermined,
dragged-0004,1,complementary,when was coffee first made into a drink?,,undetermined,
dragged-0004,2,complementary,when was coffee first made into a drink?,,undetermined,
dragged-0004,3,complementary,when was coffee first made into a drink?,,undetermined,
dragged-0004,4,complementary,when was coffee first made into a drink?,,undetermined,
dragged-0004,5,complementary,when was coffee first made into a drink?,,undetermined,
dragged-0004,6,complementary,when was coffee first made into a drink?,,undetermined,
dragged-0004,7,complementary,when was coffee first made into a drink?,,undetermined,
dragged-0004,8,complementary,when was coffee first made into a drink?,,undetermined,
dragged-0004,9,complementary,when was coffee first made into a drink?,,undetermined,
dragged-0015,0,complementary,when did arabic overtake coptic as the language most used,,undetermined,
dragged-0015,1,complementary,when did arabic overtake coptic as the language most used,,undetermined,
dragged-0015,2,complementary,when did arabic overtake coptic as the language most used,,undetermined,
dragged-0015,3,complementary,when did arabic overtake coptic as the language most used,,undetermined,
dragged-0015,4,complementary,when did arabic overtake coptic as the language most used,,undetermined,
dragged-0015,5,complementary,when did arabic overtake coptic as the language most used,,undetermined,
dragged-0015,6,complementary,when did arabic overtake coptic as the language most used,,undetermined,
dragged-0015,7,complementary,when did arabic overtake coptic as the language most used,,undetermined,
dragged-0015,8,complementary,when did arabic overtake coptic as the language most used,,undetermined,
