question_id,question,correct_answer,conflicting_answers,conflict_type,exclusion_flag,judge1(sharp/soft),judge2(sharp/soft),human_spotcheck(sharp/soft),gold_reverified(y/n/corrected),verdict(sharp/soft)
qacc-0002,Who is the only bowler to have taken a hattrick in both meaning of a test match?,Wasim Akram,Akram and Mohammad Sami,misinfo,no_valid_conflict_pair,,,,,
qacc-0014,Who plays nick dad in freaks and geeks?,Mr. Andopolis,Kevin Tighe,misinfo,,,,,,
qacc-0036,Where was the biggest gold nugget ever found?,"Moliagul, Victoria, Australia",Serra Pelada,misinfo,,,,,,
qacc-0049,When did the british first use gas in ww1?,25 September 1915,September 1915,temporal,,,,,,
qacc-0053,When did nigeria change its currency from pounds to naira?,1 January 1973,1973 | January 1973,misinfo,no_valid_conflict_pair,,,,,
qacc-0054,When did india win the cricket world cup?,"1983, 2011",1983 | 2011,misinfo,gold_not_in_candidates,,,,,
qacc-0064,What did germany have to pay after ww2?,$86.8 billion,$23 billion,temporal,,,,,,
qacc-0067,What was the name of columbo's dog?,never given a name,Fang,misinfo,,,,,,
qacc-0073,When do riley and danny get together in baby daddy?,Season 5,Season 6,misinfo,,,,,,
qacc-0075,How many trillion miles in a light year?,6 trillion miles,5.88,misinfo,,,,,,
qacc-0078,When was civil peace by chinua achebe published?,1971,1972,misinfo,no_valid_conflict_pair,,,,,
qacc-0080,The bill of rights applies to the states through this amendment?,14th or Fourteenth Amendment,indoctrination doctrine | Fourteenth Amendment  | 14th Amendment,misinfo,gold_not_in_candidates,,,,,
qacc-0084,Who played the original roman on days of our lives?,Josh Taylor,Wayne Northrop,misinfo,,,,,,
qacc-0085,Where is most of the water in the body located?,intracellular fluid,extracellular fluid,misinfo,,,,,,
qacc-0093,Where does the last name chambers come from?,English,Old French,misinfo,,,,,,
qacc-0108,What laws directed the flow of goods between england and the colonies?,The Navigation Acts,special laws,misinfo,,,,,,
qacc-0110,Who dies in breaking dawn part 2 movie?,Jasper Cullen.,Unnamed Volturi Member.,misinfo,,,,,,
qacc-0112,When does the fourth season of flash come out?,"October 10, 2017",08/28/2018,misinfo,,,,,,
qacc-0116,Who presents the people's postcode lottery advert?,Jason Donovan,"Judie McCourt, Danyl Johnson, ",temporal,,,,,,
qacc-0117,Name a us president that ends with son?,Thomas Jefferson,Andrew Jackson | James MadiSON,misinfo,,,,,,
qacc-0126,Ratio of length and width of indian flag?,2:3,3:2,misinfo,,,,,,
qacc-0134,Who was torn apart by maenads at the end of the bacchae?,Pentheus,the herd of cattle,misinfo,,,,,,
qacc-0136,Who wrote the song tell me something good?,Stevie Wonder,"Rufus, Chaka Khan",misinfo,,,,,,
qacc-0138,Who wrote the i'm lovin it jingle?,Pusha T,Justin Timberlake | the human Coke,misinfo,,,,,,
qacc-0139,Who plays aang in avatar the last airbender movie?,Noah Ringer,Noah Andrew Ringer | Gordon Cormier,misinfo,,,,,,
qacc-0141,Who owns the national sports center in blaine?,State of Minnesota,NationalSportsCenterFoundation,misinfo,no_valid_conflict_pair,,,,,
qacc-0143,Who played bass on and justice for all?,Jason Newsted,Cliff Burton,temporal,no_valid_conflict_pair,,,,,
qacc-0146,When did cassie died on young and the restless?,"May 24, 2005","Jun 11, 2020",misinfo,,,,,,
qacc-0156,How many countries can us citizen travel without visa?,184,185 | 146,temporal,,,,,,
qacc-0174,Who played ashley banks on fresh prince of bel-air?,Tatyana Marisol Ali,Akira Akbar,misinfo,,,,,,
qacc-0191,A polygon with all sides the same length is said to be?,equilateral,regular,misinfo,,,,,,
qacc-0201,What caused the american oil crisis of 1974?,Oil Embargo,German attacks,misinfo,,,,,,
qacc-0202,When did leonardo da vinci finish painting the mona lisa?,1519,1506 | never finished it,misinfo,,,,,,
qacc-0227,Where does the coin go in a french drop?,made to disappear,dropped,misinfo,,,,,,
qacc-0241,The type of thunderstorm that has the most damaging winds and precipitation is a?,Supercell,Tornadoes | Dust storm,misinfo,,,,,,
qacc-0271,When was alice in chains jar of flies released?,"January 25, 1994",1994,temporal,,,,,,
qacc-0278,Who wrote remember me i'm the one who loves you?,Stuart Hamblen,Ray Price,misinfo,,,,,,
qacc-0287,Who has won the us open golf 2018 title in new york?,Brooks Koepka,Johnson,misinfo,,,,,,
qacc-0294,Where does the last name betts come from?,medieval personal name,Norfolk,misinfo,,,,,,
qacc-0296,Who plays james corden's sister in gavin and stacey?,Rudi,Ruth and Ange,misinfo,,,,,,
qacc-0300,Who wrote the introduction to the voyage out?,Phyllis Rose,Elisa Gabbert,misinfo,,,,,,
qacc-0312,Who wrote the school for good and evil?,Soman Chainani,Paul Feig and David Magee,misinfo,,,,,,
qacc-0321,Who has won the champions league the most as a player?,Paco Gento,Cristiano Ronaldo ,misinfo,,,,,,
qacc-0334,Who is the most subscribed vlogger on youtube?,MrBeast ,PewDiePie,temporal,,,,,,
qacc-0337,Who has scored most runs in t20 international matches?,Gayle,Virat Kohli,misinfo,,,,,,
qacc-0338,What is the fastest roller coaster in california?,Goliath,The California Screamin' | Full Throttle,misinfo,,,,,,
qacc-0346,Who wrote ill never love again a star is born?,Lady Gaga ,Lady Gaga and Hillary Lindsey | Jackson Maine,misinfo,,,,,,
qacc-0361,Who sings as long as he needs me in oliver?,Nancy,Aaron Tveit | Shirley Bassey,misinfo,,,,,,
qacc-0365,Who played bob in elvira mistress of the dark?,Joe Bob Briggs,Robert Redding,misinfo,,,,,,
qacc-0376,When does the new episode of arrow come out?,Arrow has been cancelled,"Tuesday, August 22, 2023 | 2012-10-10",temporal,,,,,,
qacc-0402,What is the meaning of the name apoorva?, Unique,Quite new | Not seen before,misinfo,,,,,,
qacc-0404,Who sings 'fever dog' in 'almost famous'?,Marti Fredericksen,Nancy Wilson,misinfo,,,,,,
qacc-0420,Converting stereo signal to mono signal is called?,Mono/Stereo Conversions,Mono Summing,misinfo,,,,,,
qacc-0424,How are leaders of the two parties in congress chosen?,leaders are the elected,Depending on party in power | minority party meetings,misinfo,,,,,,
qacc-0433,What is the inner core of the earth made from?,iron–nickel,metal,misinfo,,,,,,
