question_id,verdict,conflict_type,model
qacc-0002,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0014,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0036,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0049,soft,,Qwen/Qwen3.6-27B
qacc-0053,soft,,Qwen/Qwen3.6-27B
qacc-0054,soft,,Qwen/Qwen3.6-27B
qacc-0064,soft,,Qwen/Qwen3.6-27B
qacc-0067,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0073,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0075,soft,,Qwen/Qwen3.6-27B
qacc-0078,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0080,soft,,Qwen/Qwen3.6-27B
qacc-0084,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0085,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0093,soft,,Qwen/Qwen3.6-27B
qacc-0108,soft,,Qwen/Qwen3.6-27B
qacc-0110,soft,,Qwen/Qwen3.6-27B
qacc-0112,soft,,Qwen/Qwen3.6-27B
qacc-0116,sharp,outdated,Qwen/Qwen3.6-27B
qacc-0117,soft,,Qwen/Qwen3.6-27B
qacc-0126,soft,,Qwen/Qwen3.6-27B
qacc-0134,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0136,soft,,Qwen/Qwen3.6-27B
qacc-0138,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0139,soft,,Qwen/Qwen3.6-27B
qacc-0141,soft,,Qwen/Qwen3.6-27B
qacc-0143,soft,,Qwen/Qwen3.6-27B
qacc-0146,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0156,sharp,outdated,Qwen/Qwen3.6-27B
qacc-0174,soft,,Qwen/Qwen3.6-27B
qacc-0191,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0201,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0202,sharp,conflicting_opinions,Qwen/Qwen3.6-27B
qacc-0227,soft,,Qwen/Qwen3.6-27B
qacc-0241,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0271,soft,,Qwen/Qwen3.6-27B
qacc-0278,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0287,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0294,soft,,Qwen/Qwen3.6-27B
qacc-0296,sharp,misinformation,Qwen/Qwen3.6-27B
qacc-0300,soft,,Qwen/Qwen3.6-27B
qacc-0312,soft,,Qwen/Qwen3.6-27B
qacc-0321,sharp,outdated,Qwen/Qwen3.6-27B
qacc-0334,sharp,outdated,Qwen/Qwen3.6-27B
qacc-0337,sharp,outdated,Qwen/Qwen3.6-27B
qacc-0338,sharp,outdated,Qwen/Qwen3.6-27B
qacc-0346,soft,,Qwen/Qwen3.6-27B
qacc-0361,soft,,Qwen/Qwen3.6-27B
qacc-0365,sharp,misinformation,Qwen/Qwen3.6-27B
