question_id,verdict,conflict_type,model
qacc-0002,sharp,misinformation,openai/gpt-oss-20b
qacc-0014,sharp,misinformation,openai/gpt-oss-20b
qacc-0036,sharp,misinformation,openai/gpt-oss-20b
qacc-0049,soft,,openai/gpt-oss-20b
qacc-0053,soft,,openai/gpt-oss-20b
qacc-0054,soft,,openai/gpt-oss-20b
qacc-0064,soft,,openai/gpt-oss-20b
qacc-0067,sharp,misinformation,openai/gpt-oss-20b
qacc-0073,sharp,misinformation,openai/gpt-oss-20b
qacc-0075,soft,,openai/gpt-oss-20b
qacc-0078,sharp,misinformation,openai/gpt-oss-20b
qacc-0080,sharp,misinformation,openai/gpt-oss-20b
qacc-0084,sharp,misinformation,openai/gpt-oss-20b
qacc-0085,sharp,misinformation,openai/gpt-oss-20b
qacc-0093,soft,conflicting_opinions,openai/gpt-oss-20b
qacc-0108,soft,,openai/gpt-oss-20b
qacc-0110,soft,,openai/gpt-oss-20b
qacc-0112,soft,,openai/gpt-oss-20b
qacc-0116,,,openai/gpt-oss-20b
qacc-0117,soft,,openai/gpt-oss-20b
qacc-0126,sharp,misinformation,openai/gpt-oss-20b
qacc-0134,sharp,misinformation,openai/gpt-oss-20b
qacc-0136,sharp,misinformation,openai/gpt-oss-20b
qacc-0138,sharp,misinformation,openai/gpt-oss-20b
qacc-0139,soft,,openai/gpt-oss-20b
qacc-0141,sharp,misinformation,openai/gpt-oss-20b
qacc-0143,soft,,openai/gpt-oss-20b
qacc-0146,sharp,misinformation,openai/gpt-oss-20b
qacc-0156,sharp,outdated,openai/gpt-oss-20b
qacc-0174,sharp,misinformation,openai/gpt-oss-20b
qacc-0191,sharp,misinformation,openai/gpt-oss-20b
qacc-0201,sharp,misinformation,openai/gpt-oss-20b
qacc-0202,sharp,misinformation,openai/gpt-oss-20b
qacc-0227,sharp,misinformation,openai/gpt-oss-20b
qacc-0241,sharp,,openai/gpt-oss-20b
qacc-0271,soft,,openai/gpt-oss-20b
qacc-0278,sharp,misinformation,openai/gpt-oss-20b
qacc-0287,sharp,misinformation,openai/gpt-oss-20b
qacc-0294,soft,,openai/gpt-oss-20b
qacc-0296,sharp,misinformation,openai/gpt-oss-20b
qacc-0300,soft,conflicting_opinions,openai/gpt-oss-20b
qacc-0312,sharp,misinformation,openai/gpt-oss-20b
qacc-0321,sharp,misinformation,openai/gpt-oss-20b
qacc-0334,sharp,outdated,openai/gpt-oss-20b
qacc-0337,,,openai/gpt-oss-20b
qacc-0338,sharp,misinformation,openai/gpt-oss-20b
qacc-0346,sharp,misinformation,openai/gpt-oss-20b
qacc-0361,sharp,misinformation,openai/gpt-oss-20b
qacc-0365,sharp,misinformation,openai/gpt-oss-20b
qacc-0376,sharp,outdated,openai/gpt-oss-20b
qacc-0402,soft,,openai/gpt-oss-20b
qacc-0404,sharp,misinformation,openai/gpt-oss-20b
qacc-0420,soft,,openai/gpt-oss-20b
qacc-0424,soft,,openai/gpt-oss-20b
qacc-0433,soft,,openai/gpt-oss-20b
qacc-0435,sharp,misinformation,openai/gpt-oss-20b
qacc-0436,soft,,openai/gpt-oss-20b
qacc-0438,soft,,openai/gpt-oss-20b
qacc-0453,sharp,misinformation,openai/gpt-oss-20b
qacc-0456,sharp,misinformation,openai/gpt-oss-20b
qacc-0457,soft,,openai/gpt-oss-20b
qacc-0462,sharp,misinformation,openai/gpt-oss-20b
qacc-0465,soft,,openai/gpt-oss-20b
qacc-0466,sharp,misinformation,openai/gpt-oss-20b
qacc-0468,sharp,conflicting_opinions,openai/gpt-oss-20b
qacc-0470,sharp,misinformation,openai/gpt-oss-20b
qacc-0473,sharp,misinformation,openai/gpt-oss-20b
qacc-0474,sharp,misinformation,openai/gpt-oss-20b
qacc-0476,soft,,openai/gpt-oss-20b
qacc-0477,sharp,misinformation,openai/gpt-oss-20b
qacc-0485,sharp,misinformation,openai/gpt-oss-20b
qacc-0491,sharp,misinformation,openai/gpt-oss-20b
qacc-0492,soft,,openai/gpt-oss-20b
qacc-0495,soft,,openai/gpt-oss-20b
qacc-0498,soft,,openai/gpt-oss-20b
qacc-0504,sharp,misinformation,openai/gpt-oss-20b
qacc-0505,soft,,openai/gpt-oss-20b
qacc-0508,sharp,misinformation,openai/gpt-oss-20b
qacc-0511,sharp,misinformation,openai/gpt-oss-20b
qacc-0517,sharp,misinformation,openai/gpt-oss-20b
qacc-0518,soft,,openai/gpt-oss-20b
qacc-0521,sharp,misinformation,openai/gpt-oss-20b
qacc-0532,soft,,openai/gpt-oss-20b
qacc-0535,sharp,misinformation,openai/gpt-oss-20b
qacc-0538,sharp,misinformation,openai/gpt-oss-20b
qacc-0539,soft,,openai/gpt-oss-20b
qacc-0540,sharp,misinformation,openai/gpt-oss-20b
qacc-0550,sharp,misinformation,openai/gpt-oss-20b
qacc-0551,sharp,misinformation,openai/gpt-oss-20b
qacc-0553,soft,,openai/gpt-oss-20b
qacc-0561,sharp,misinformation,openai/gpt-oss-20b
qacc-0562,sharp,misinformation,openai/gpt-oss-20b
qacc-0573,sharp,misinformation,openai/gpt-oss-20b
qacc-0574,sharp,misinformation,openai/gpt-oss-20b
qacc-0582,sharp,misinformation,openai/gpt-oss-20b
qacc-0583,soft,,openai/gpt-oss-20b
qacc-0584,sharp,,openai/gpt-oss-20b
qacc-0585,soft,conflicting_opinions,openai/gpt-oss-20b
qacc-0589,,,openai/gpt-oss-20b
qacc-0598,soft,,openai/gpt-oss-20b
qacc-0601,soft,,openai/gpt-oss-20b
qacc-0605,soft,,openai/gpt-oss-20b
qacc-0606,soft,,openai/gpt-oss-20b
qacc-0612,sharp,misinformation,openai/gpt-oss-20b
qacc-0615,soft,,openai/gpt-oss-20b
qacc-0619,sharp,misinformation,openai/gpt-oss-20b
qacc-0627,soft,,openai/gpt-oss-20b
qacc-0640,sharp,misinformation,openai/gpt-oss-20b
qacc-0647,sharp,misinformation,openai/gpt-oss-20b
qacc-0649,soft,,openai/gpt-oss-20b
qacc-0652,soft,,openai/gpt-oss-20b
qacc-0657,sharp,misinformation,openai/gpt-oss-20b
qacc-0658,sharp,misinformation,openai/gpt-oss-20b
qacc-0659,sharp,misinformation,openai/gpt-oss-20b
qacc-0663,sharp,misinformation,openai/gpt-oss-20b
qacc-0668,soft,,openai/gpt-oss-20b
qacc-0676,sharp,misinformation,openai/gpt-oss-20b
qacc-0677,soft,,openai/gpt-oss-20b
qacc-0679,soft,,openai/gpt-oss-20b
qacc-0683,soft,,openai/gpt-oss-20b
qacc-0684,sharp,misinformation,openai/gpt-oss-20b
qacc-0691,sharp,misinformation,openai/gpt-oss-20b
qacc-0695,sharp,misinformation,openai/gpt-oss-20b
qacc-0699,sharp,misinformation,openai/gpt-oss-20b
qacc-0700,sharp,conflicting_opinions,openai/gpt-oss-20b
qacc-0706,soft,,openai/gpt-oss-20b
qacc-0711,soft,,openai/gpt-oss-20b
qacc-0713,soft,,openai/gpt-oss-20b
qacc-0714,soft,,openai/gpt-oss-20b
qacc-0729,sharp,misinformation,openai/gpt-oss-20b
qacc-0733,sharp,misinformation,openai/gpt-oss-20b
qacc-0738,soft,,openai/gpt-oss-20b
qacc-0739,soft,,openai/gpt-oss-20b
qacc-0741,sharp,misinformation,openai/gpt-oss-20b
qacc-0742,soft,,openai/gpt-oss-20b
