question_id,doc_id,label,source
dragged-0012,7,correct,rule_draft
dragged-0018,6,correct,rule_draft
dragged-0021,1,correct,a3_stringmatch
dragged-0021,2,correct,rule_draft
dragged-0021,4,correct,a3_stringmatch
dragged-0021,5,correct,a3_stringmatch
dragged-0021,8,correct,a3_stringmatch
dragged-0028,1,correct,rule_draft
dragged-0031,4,correct,a3_stringmatch
dragged-0031,6,correct,a3_stringmatch
dragged-0031,7,correct,a3_stringmatch
dragged-0031,8,correct,rule_draft
dragged-0031,9,correct,a3_stringmatch
dragged-0056,0,correct,rule_draft
dragged-0056,6,correct,a3_stringmatch
dragged-0056,7,correct,a3_stringmatch
dragged-0056,8,correct,a3_stringmatch
dragged-0056,9,correct,a3_stringmatch
dragged-0064,0,correct,rule_draft
dragged-0064,2,correct,a3_stringmatch
dragged-0064,3,correct,a3_stringmatch
dragged-0064,4,correct,a3_stringmatch
dragged-0064,6,correct,a3_stringmatch
dragged-0064,7,correct,a3_stringmatch
dragged-0064,9,correct,a3_stringmatch
dragged-0080,4,correct,a3_stringmatch
dragged-0080,6,correct,rule_draft
dragged-0084,3,correct,rule_draft
dragged-0086,3,correct,rule_draft
dragged-0086,4,correct,a3_stringmatch
dragged-0086,8,correct,a3_stringmatch
dragged-0090,3,correct,rule_draft
dragged-0090,7,correct,rule_draft
dragged-0093,3,correct,rule_draft
dragged-0099,2,correct,a3_stringmatch
dragged-0103,3,correct,rule_draft
dragged-0103,4,correct,rule_draft
dragged-0112,0,correct,rule_draft
dragged-0115,3,correct,a3_stringmatch
dragged-0115,7,correct,rule_draft
dragged-0115,8,correct,a3_stringmatch
dragged-0123,7,correct,rule_draft
dragged-0124,2,correct,rule_draft
dragged-0124,3,correct,a3_stringmatch
dragged-0124,4,correct,a3_stringmatch
dragged-0124,7,correct,a3_stringmatch
dragged-0129,6,correct,a3_stringmatch
dragged-0129,8,correct,a3_stringmatch
dragged-0131,0,correct,rule_draft
dragged-0131,6,correct,rule_draft
dragged-0131,8,correct,rule_draft
dragged-0131,9,correct,rule_draft
dragged-0137,3,correct,rule_draft
dragged-0137,7,correct,rule_draft
dragged-0171,2,correct,a3_stringmatch
dragged-0171,4,correct,rule_draft
dragged-0171,5,correct,a3_stringmatch
dragged-0171,7,correct,a3_stringmatch
dragged-0171,8,correct,a3_stringmatch
dragged-0190,2,correct,a3_stringmatch
dragged-0190,3,correct,rule_draft
dragged-0190,4,correct,a3_stringmatch
dragged-0190,5,correct,a3_stringmatch
dragged-0192,0,correct,a3_stringmatch
dragged-0192,1,correct,rule_draft
dragged-0192,4,correct,a3_stringmatch
dragged-0192,6,correct,a3_stringmatch
dragged-0220,2,correct,a3_stringmatch
dragged-0220,6,correct,rule_draft
dragged-0230,0,correct,rule_draft
dragged-0230,5,correct,a3_stringmatch
dragged-0249,4,correct,a3_stringmatch
dragged-0249,6,correct,a3_stringmatch
dragged-0249,7,correct,a3_stringmatch
dragged-0249,8,correct,a3_stringmatch
dragged-0252,1,correct,a3_stringmatch
dragged-0252,8,correct,rule_draft
dragged-0273,3,correct,a3_stringmatch
