item_id,dataset,env,seed,L1,L2,FA,path,is_correct,n_docs,conflict_type,l2_source
qacc-0014,qacc,reflection,13,detected,correct,correct,legitimate,1,9,misinformation,judge
qacc-0014,qacc,standard,13,unrecognized,,wrong,,0,9,misinformation,
qacc-0014,qacc,standard_nothink,13,unrecognized,,wrong,,0,9,misinformation,
qacc-0036,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,rule
qacc-0036,qacc,standard,13,detected,correct,correct,legitimate,1,10,misinformation,rule
qacc-0036,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0067,qacc,reflection,13,detected,correct,wrong,,0,9,misinformation,rule
qacc-0067,qacc,standard,13,detected,correct,wrong,,0,9,misinformation,judge
qacc-0067,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,9,misinformation,
qacc-0073,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-0073,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0073,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0084,qacc,reflection,13,detected,correct,correct,legitimate,1,7,misinformation,rule
qacc-0084,qacc,standard,13,unrecognized,,wrong,,0,7,misinformation,
qacc-0084,qacc,standard_nothink,13,unrecognized,,wrong,,0,7,misinformation,
qacc-0085,qacc,reflection,13,detected,correct,correct,legitimate,1,9,misinformation,rule
qacc-0085,qacc,standard,13,detected,correct,correct,legitimate,1,9,misinformation,rule
qacc-0085,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,9,misinformation,
qacc-0134,qacc,reflection,13,detected,correct,correct,legitimate,1,9,misinformation,judge
qacc-0134,qacc,standard,13,unrecognized,,correct,blind_hit,1,9,misinformation,
qacc-0134,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,9,misinformation,
qacc-0138,qacc,reflection,13,detected,correct,correct,legitimate,1,8,misinformation,rule
qacc-0138,qacc,standard,13,unrecognized,,correct,blind_hit,1,8,misinformation,
qacc-0138,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,8,misinformation,
qacc-0146,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-0146,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0146,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0156,qacc,reflection,13,detected,correct,correct,legitimate,1,8,outdated,rule
qacc-0156,qacc,standard,13,unrecognized,,correct,blind_hit,1,8,outdated,
qacc-0156,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,8,outdated,
qacc-0191,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-0191,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0191,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0201,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-0201,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0201,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0202,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-0202,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0202,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0241,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-0241,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0241,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0278,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,rule
qacc-0278,qacc,standard,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-0278,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0287,qacc,reflection,13,detected,correct,correct,legitimate,1,9,misinformation,judge
qacc-0287,qacc,standard,13,unrecognized,,correct,blind_hit,1,9,misinformation,
qacc-0287,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,9,misinformation,
qacc-0296,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-0296,qacc,standard,13,unrecognized,,wrong,,0,10,misinformation,
qacc-0296,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0321,qacc,reflection,13,detected,wrong,correct,discordant_hit,1,10,misinformation,rule
qacc-0321,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0321,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0334,qacc,reflection,13,unrecognized,,correct,blind_hit,1,9,outdated,
qacc-0334,qacc,standard,13,unrecognized,,correct,blind_hit,1,9,outdated,
qacc-0334,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,9,outdated,
qacc-0338,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-0338,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0338,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0365,qacc,reflection,13,detected,correct,wrong,,0,9,misinformation,judge
qacc-0365,qacc,standard,13,unrecognized,,wrong,,0,9,misinformation,
qacc-0365,qacc,standard_nothink,13,unrecognized,,wrong,,0,9,misinformation,
qacc-0376,qacc,reflection,13,detected,correct,wrong,,0,7,outdated,rule
qacc-0376,qacc,standard,13,detected,correct,wrong,,0,7,outdated,rule
qacc-0376,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,7,outdated,
qacc-0404,qacc,reflection,13,detected,correct,wrong,,0,7,misinformation,judge
qacc-0404,qacc,standard,13,unrecognized,,wrong,,0,7,misinformation,
qacc-0404,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,7,misinformation,
qacc-0435,qacc,reflection,13,detected,unresolved,correct,shortcut,1,6,misinformation,rule
qacc-0435,qacc,standard,13,detected,correct,wrong,,0,6,misinformation,judge
qacc-0435,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,6,misinformation,
qacc-0453,qacc,reflection,13,detected,correct,wrong,,0,10,misinformation,judge
qacc-0453,qacc,standard,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-0453,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,10,misinformation,
qacc-0456,qacc,reflection,13,detected,correct,correct,legitimate,1,6,misinformation,judge
qacc-0456,qacc,standard,13,detected,wrong,correct,discordant_hit,1,6,misinformation,rule
qacc-0456,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,6,misinformation,
qacc-0462,qacc,reflection,13,detected,wrong,correct,discordant_hit,1,7,misinformation,rule
qacc-0462,qacc,standard,13,detected,correct,correct,legitimate,1,7,misinformation,judge
qacc-0462,qacc,standard_nothink,13,unrecognized,,correct,blind_hit,1,7,misinformation,
qacc-0470,qacc,reflection,13,detected,correct,correct,legitimate,1,10,misinformation,judge
qacc-0470,qacc,standard,13,unrecognized,,correct,blind_hit,1,10,misinformation,
