question_id,verdict,conflict_type,model
qacc-0049,soft,,rule:equivalence
qacc-0110,soft,,rule:equivalence
qacc-0126,soft,,rule:equivalence
qacc-0457,soft,,rule:equivalence
qacc-0474,soft,,rule:equivalence
qacc-0498,soft,,rule:equivalence
qacc-0518,soft,,rule:equivalence
qacc-0583,soft,,rule:equivalence
qacc-0605,soft,,rule:equivalence
qacc-0743,soft,,rule:equivalence
qacc-1001,soft,,rule:equivalence
qacc-1003,soft,,rule:equivalence
qacc-1148,soft,,rule:equivalence
qacc-1381,soft,,rule:equivalence
qacc-1453,soft,,rule:equivalence
qacc-1470,soft,,rule:equivalence
qacc-1504,soft,,rule:equivalence
qacc-1511,soft,,rule:equivalence
qacc-1585,soft,,rule:equivalence
qacc-0002,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0014,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0036,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0053,soft,,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0054,soft,,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0064,sharp,conflicting_opinions,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0067,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0073,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0075,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0078,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0080,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0084,sharp,outdated,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0085,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0093,sharp,conflicting_opinions,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0108,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0112,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0116,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0117,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0134,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0136,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0138,sharp,conflicting_opinions,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0139,sharp,outdated,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0141,sharp,conflicting_opinions,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0143,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0146,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0156,sharp,outdated,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0174,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0191,sharp,conflicting_opinions,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0201,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0202,sharp,conflicting_opinions,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0227,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0241,sharp,conflicting_opinions,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0271,soft,,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0278,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0287,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0294,sharp,conflicting_opinions,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0296,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0300,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0312,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0321,sharp,outdated,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0334,sharp,outdated,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0337,sharp,outdated,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0338,sharp,outdated,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0346,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0361,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0365,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0376,sharp,outdated,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0402,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0404,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0420,sharp,conflicting_opinions,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0424,sharp,conflicting_opinions,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0433,soft,,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0435,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0436,soft,,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0438,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0453,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0456,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0462,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0465,soft,,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0466,sharp,conflicting_opinions,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0468,sharp,conflicting_opinions,mistralai/Mistral-Small-3.2-24B-Instruct-2506
qacc-0470,sharp,misinformation,mistralai/Mistral-Small-3.2-24B-Instruct-2506
